98
2_0051;51;Rennes (Hoche) <> Betton (Champ Devant);
2_0052;52;Saint-Gilles / Pacé <> Rennes (Villejean-Université) <> Montgermont / La Chapelle-des-Fougeretz;
2_0053;53;Rennes (République) <> Vezin-le-Coquet / L'Hermitage / La Chapelle-Thouarault;
2_0054;54;Rennes (Charles de Gaulle) <> Le Rheu / Cintré;
2_0050;50;Rennes (République) <> Thorigné-Fouillard;
2_0157;157;Rennes (République) <> Bruz (Centre);
2_0156;156;Rennes (République) <> Chavagne;
2_0155;155;Rennes (République) <> Mordelles;
2_0154;154;Rennes (République) <> Le Rheu / Cintré;
2_0159;159;Rennes (Henri Fréville) <> Bruz (Centre);
2_0158;KL;Rennes (République) <> Campus de Ker-Lann;
2_0164;164;Rennes (République) <> Acigné;
2_0161;161;Rennes (Henri Fréville) <> Noyal-Châtillon-sur-Seiche / Saint-Erblon / Bourgbarré;
2_0044;44;République <> Joliot-Curie;
2_0064;64;Rennes (République) <> Acigné;
2_0065;65;Rennes (Villejean-Université) <> Pacé / Parthenay-de-Bretagne;
2_0061;61;Rennes (Henri Fréville) <> Noyal-Châtillon-sur-Seiche / Saint-Erblon;
2_0150;150;Rennes (République) <> Thorigné-Fouillard;
2_0151;151;Rennes (Hoche) <> Betton (Champ Devant);
2_0152;152;Rennes (Lycée V. H. Basch) <> Saint-Gilles;
2_0153;153;Rennes (République) <> Vezin-le-Coquet / L'Hermitage / La Chapelle-Thouarault;
2_0059;59;Vern-sur-Seiche <> Rennes (La Poterie) / Rennes (Henri Fréville) <> Bruz (Centre);
2_0057;57;Rennes (République) <> Saint-Jacques-de-la-Lande / Bruz (Centre);
2_0056;56;Rennes (Charles de Gaulle) <> Chavagne;
2_0055;55;Rennes (Charles de Gaulle) <> Mordelles / Le Verger;
2_0070;70;Rennes (Hoche) <> Saint-Sulpice-la-Forêt;
2_0071;71;Rennes (Hoche) <> Betton / Chevaigné;
2_0072;72;Rennes (Henri Fréville) <> Chartres-de-Bretagne / Pont-Péan / Laillé;
2_0073;73;Rennes (La Poterie) <> Vern-sur-Seiche / Saint-Armel / Corps-Nuds;
2_0074;74;Rennes (Henri Fréville) <> Orgères / Bourgbarré;
2_0075;75;Rennes (La Poterie) <> Nouvoitou;
2_0076;76;Rennes (Villejean-Université) <> Vezin-le-Coquet / Le Rheu;
2_0067;67;Rennes (République) <> Cesson-Sévigné / Brécé;
2_0068;68;Rennes (Villejean-Université) <> Gévezé;
2_0081;81;Rennes (Villejean-Université) <> Clayes / Romillé;
2_0079;79;Rennes (Henri Fréville) <> Laillé;
2_0078;78;Rennes (Villejean-Université) <> Saint-Grégoire / Betton (Centre);
2_0077;77;Rennes (Villejean-Université) <> Pacé;
2_0230;230;Chartres-de-Bretagne (Vieux Bourg) <> Bruz (Collège Saint-Joseph);
2_0090;90;Rennes (Henri Fréville) <> Saint-Jacques-de-la-Lande;
2_0004;4;Beauregard <> Beaulieu Atalante;
2_0226;226;Gévezé (Cheval Blanc) <> Pacé (Collège Saint-Gabriel);
2_0005;5;Patton <> Lycée Bréquigny;
2_0227;227;Saint-Gilles (Île des Bois) <> Pacé (Collège Saint-Gabriel);
2_0006;6;Cesson-Sévigné (Base de Loisirs) <> Saint-Jacques-de-la-Lande (Morinais);
2_0224;224;Gévezé (Cheval Blanc) <> Saint-Grégoire (Lycée Jean-Paul II);
2_0225;225;Pacé (Pie Neuve) <> Saint-Grégoire (Lycée Jean-Paul II);
2_0222;222;Chevaigné (Pommiers) <> Betton (Collège François Truffaut);
2_0001;1;Cesson-Sévigné (Champs Blancs) <> Chantepie (Rosa Parks);
2_0223;223;Chevaigné (Pommiers) <> Saint-Grégoire (Lycée Jean-Paul II);
2_0002;2;Grand Quartier <> La Poterie / Haut Sancé;
2_0220;220;Acigné (Timonière) <> Cesson-Sévigné (Lycée Sévigné);
2_0003;3;Saint-Laurent <> Henri Fréville;
2_0221;221;Cesson-Sévigné (Château de Vaux) <> Cesson-Sévigné (Lycée Saint-Etienne);
2_0096;96;Miniac-sous-Bécherel / Bécherel <> Romillé <> Langan / La-Chapelle-Chaussée;
2_0094;94;Saint-Sulpice-la-Forêt / Chevaigné <> Betton (Centre);
2_0008;8;Saint-Grégoire <> Rennes (La Poterie);
2_0009;9;Saint-Laurent <> Cleunay;
2_0228;228;Saint-Gilles (Île des Bois) <> Le Rheu (Collège Georges Brassens);
2_0091;91;Bruz / Chartres <> Noyal-Châtillon-sur-Seiche;
2_0229;229;Chavagne (Croix Blanche) <> Bruz (Collège Saint-Joseph);
2_0235;235;Pont-Péan (Mouton Blanc) <> Orgères (L'Hermitière Village);
2_0236;236;Clayes (Clairville) <> Pacé (Collège Saint-Gabriel);
2_0237;237;Bécherel (Centre) <> Villejean-Université;
2_0231;231;Laillé (Gingouillère) <> Bruz (Collège Saint-Joseph);
2_0232;232;Saint-Erblon (Leuzières) <> Orgères (Collège Andrée Récipon);
2_0011;11;ZI Ouest / Stade Rennais <> Saint-Saëns / ZI Sud-Est;
2_0233;233;Bourgbarré (Centre de Loisirs) <> Orgères (Collège Andrée Récipon);
2_0804;TTZ;Rennes <> Touche Tizon;
2_0805;STN;STAR de Nuit - Beaulieu Atalante <> J.F. Kennedy;
2_0234;234;Laillé (Gingouillère) <> Orgères (Collège Andrée Récipon);
2_0030;30;Stade Rennais <> Cesson-Sévigné (Rigourdière);
2_0032;32;Triangle <> Beaulieu Atalante;
2_0031;31;Villejean-Churchill <> Beaulieu Ecole de Chimie;
2_0200;200;Acigné (Timonière) <> Rennes (Lycée Assomption);
2_0201;201;Thorigné-Fouillard (Landelles) <> Rennes (Lycée Assomption);
2_0204;204;Saint-Grégoire (Ricoquais) <> Rennes (Collège Clotilde Vautier);
2_0205;205;Villejean-Université <> La Lande du Breil;
2_0202;202;Chevaigné (Pommiers) <> Rennes (Lycée Assomption);
2_0203;203;Gares <> Lycée Joliot-Curie;
2_0208;208;Saint-Grégoire (Uttenreuth) <> Saint-Grégoire (MFR Rabinardières);
2_0209;209;Vezin-le-Coquet (Vallée) <> Rennes (Collège Montbarrot);
2_0206;206;Cesson-Sévigné (Hublais) <> Rennes (Lycée Assomption);
2_0207;207;Gares <> Cesson-Sévigné (Lycée Saint-Etienne);
2_0167;167;Rennes (République) <> Brécé;
2_0042;42;Gares <> ZI Sud-Est;
2_0041;41;Gares <> ZAC Saint-Sulpice;
2_0040;40;République <> Beaulieu Atalante;
2_0035;35;Cesson-Sévigné (Champs Blancs) <> Cesson-Sévigné (Gare);
2_0210;210;Mordelles (Pâtis) <> Rennes (Lycée V.H. Basch);
2_0033;33;Saint-Jacques-de-la-Lande / Bréquigny <> La Poterie / Chantepie (Cucé);
2_0211;211;Chavagne (Croix Blanche) <> Rennes (Collège Cleunay);
2_0034;34;ZI Sud-Est / La Poterie <> Cesson-Sévigné (Lycée Saint-Etienne);
2_0212;212;Saint-Erblon (Orgerblon) <> Rennes (Lycée Bréquigny);
2_0213;213;Bourgbarré (Moc Souris) <> Rennes (Lycée Bréquigny);
2_0215;215;Villejean-Université <> Lycée Joliot-Curie;
2_0173;173;Rennes (La Poterie) <> Saint-Armel / Corps-Nuds;
2_0172;172;Rennes (Henri Fréville) <> Chartres-de-Bretagne / Pont-Péan;
